STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990525 14:45,0.19, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990525 18:00,0.20, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990530 06:30,0.21, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990601 00:15,0.21, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990601 15:45,0.20,V, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990601 16:15,0.21,N, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990602 09:45,0.22, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990602 10:15,0.23, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990602 11:30,0.24, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990602 14:15,0.25, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990602 15:00,0.26, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990602 16:30,0.27, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990602 18:15,0.28, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990603 02:30,0.29, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990604 11:00,0.30, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990606 00:45,0.31, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990606 19:45,0.32, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990607 08:00,0.33, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990618 14:15,0.33, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990619 15:30,0.33, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990619 15:45,0.33, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990701 00:15,0.33, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990701 06:45,0.33, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990701 07:30,0.33,N, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990707 16:00,0.34, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990707 16:15,0.35, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990707 16:30,0.36, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990707 20:00,0.37, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990714 10:00,0.38, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990714 11:30,0.39, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990714 12:15,0.40, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990714 13:00,0.41, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990714 13:45,0.42, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990714 14:30,0.43, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990716 16:30,0.44, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990717 08:45,0.45, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990722 14:00,0.45, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990722 14:15,0.45, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990727 15:45,0.46, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990731 08:30,0.47, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990801 00:15,0.47, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990805 14:45,0.50, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990805 15:00,0.51, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990806 09:15,0.52, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990811 00:45,0.53, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990811 12:45,0.54, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990811 13:00,0.55, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990811 13:15,0.56, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990811 13:30,0.57, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990820 13:15,0.58, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990820 15:15,0.59, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990820 16:00,0.60, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990820 16:30,0.62, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990820 17:00,0.63, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990820 17:30,0.64, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990820 18:15,0.65, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990820 19:00,0.66, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990820 20:00,0.67, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990821 20:00,0.67,V, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990822 09:45,0.68, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990823 10:00,0.68, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990824 13:00,0.68, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990825 09:30,0.68, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990826 09:45,0.68, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990827 09:00,0.68, , ,HT
